NumeroOrden,AñoOrden,MesOrden,FechaOrden,TipoOrdendeCompra,CodigoProveedor,Proveedor,FormaPago,TipodeCambio,Moneda,CodigoMaterial,DescripcionMaterial,Cantidad,ValorUnitario,ValorTotal,Unidad,EstadoOrdendeCompra
13,2022,Julio,13/07/2022 00:00,NORMAL,103700,INVENA PERU SAC,60 DIAS C/FACTURA,1008.81,DOLAR,PEBO1133,BOLSA CAMISA 950X650 PERFORADA/NATURAL 0.3% VENT,95,9500,902500,UNI,APROBADA
13,2022,Julio,13/07/2022 00:00,NORMAL,103700,INVENA PERU SAC,60 DIAS C/FACTURA,1008.81,DOLAR,PEBO1201,BOLSA CAMISA 1050X650 PERFORADA / NATURAL  0.97 % VENT,96,9600,921600,UNI,APROBADA
14,2022,Julio,13/07/2022 00:00,NORMAL,512,MADERERA SAN RAFAEL,90 DIAS C/FACTURA,1008.81,DOLAR,PAMA1132,PARRILLA 990X1190 TERCIADA CON 81 PERF ( MALETA 2.5),38,17100,649800,UNI,APROBADA
15,2022,Julio,13/07/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,1008.81,DOLAR,PECT1102,CORRUGADO ONDA SIMPLE 370X570 S/IMPRESI�N,101,9500,959500,UNI,APROBADA
15,2022,Julio,13/07/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,1008.81,DOLAR,PECT1103,CORRUGADO ONDA SIMPLE 370X470 S/IMPRESI�N,69,13500,931500,UNI,APROBADA
15,2022,Julio,13/07/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,1008.81,DOLAR,PECT1122,CORRUGADO ONDA SIMPLE 270X370 S/IMPRESI�N,41,15500,635500,UNI,APROBADA
16,2022,Agosto,04/08/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,907.82,DOLAR,GNGN1135,BASE ANTIAFIDO 1200X1000X250 MM,133,7100,944300,UNI,APROBADA
16,2022,Agosto,04/08/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,907.82,DOLAR,GNGN1172,MALLA ANTIAFIDOS COBERTOR 1200X1000X1600,156,4900,764400,UNI,APROBADA
17,2022,Agosto,09/08/2022 00:00,NORMAL,10236,TRUPAL S.A,90 DIAS C/FACTURA,906.03,DOLAR,PECT1107,BUFANDA CTN KRAF P/CONTENEDOR 1150 X 180 MM,60,12300,738000,UNI,APROBADA
17,2022,Agosto,09/08/2022 00:00,NORMAL,10236,TRUPAL S.A,90 DIAS C/FACTURA,906.03,DOLAR,PECT1109,BUFANDA CTN KRAF P/CONTENEDOR 1200X350 MM,137,5300,726100,UNI,APROBADA
17,2022,Agosto,09/08/2022 00:00,NORMAL,10236,TRUPAL S.A,90 DIAS C/FACTURA,906.03,DOLAR,PEPA1102,PARRILLA CARTON 1000X1200 T 19-20,79,12100,955900,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1112,CAJA CTN 406X608X117/123 MAQ/P84-L WMSC GRAPES 20-21,92,10900,1002800,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1116,CAJA CTN 406X608X127/133 MAQ SAMS RED SEEDLESS T21-22,154,3900,SIN REGISTRO,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1118,CAJA CTN 406X608X127/133 MAQ COSTCO RED SEEDLESS T21-22,21,18200,382200,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1119,CAJA CTN 406X608X127/133 MAQ COSTCO GREEN SEEDLESS T21-22,61,14400,878400,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1128,CAJA CTN 400X600X095/100 MAQ/NEGRA,7,20300,142100,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1137,CAJA CTN 406X608X117/123 MAQ/PURA GESEX NEGRA GRAPES T22-23,197,1100,216700,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1138,CAJA CTN 406X608X117/123 MAQ/ENJOY GRAPES T22-23,83,1700,141100,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1143,CAJA CTN 406X508X120/125 MAQ/PURAGESEX NEGRA GRAPES T22-23,5,20100,100500,UNI,APROBADA
18,2022,Agosto,10/08/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,900.78,DOLAR,PECJ1144,CAJA CTN 406X508X120/125 MAQ/ENJOY GRAPES T22-23,128,7300,934400,UNI,APROBADA
19,2022,Agosto,18/08/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,895.76,DOLAR,PECT1102,CORRUGADO ONDA SIMPLE 370X570 S/IMPRESI�N,49,14200,695800,UNI,APROBADA
19,2022,Agosto,18/08/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,895.76,DOLAR,PEGE1101,GENERADOR CTN 330X460 6.0 GR AZUL (USA),1,20200,20200,UNI,APROBADA
20,2022,Agosto,18/08/2022 00:00,NORMAL,10,CONTENENDORES SAN FERNANDO,60 DIAS C/FACTURA,895.76,DOLAR,FOCT1153,FONDO CTN 300X250X087/94 MAQ/KRAFT C/MANILLA (2.5 KG)  T22-23 CSF,40,15800,632000,UNI,APROBADA
20,2022,Agosto,18/08/2022 00:00,NORMAL,10,CONTENENDORES SAN FERNANDO,60 DIAS C/FACTURA,895.76,DOLAR,TACT1218,TAPA CTN 304X253X092/097 MAQ/JOYVIO (2.5 KG) T22-23,135,5600,756000,UNI,APROBADA
21,2022,Agosto,24/08/2022 00:00,NORMAL,10112,ENVAPACK,90 DIAS C/FACTURA,926.94,DOLAR,CTAB1108,ABSOR PAD 270X470 BILAMINAR,106,9800,1038800,UNI,APROBADA
21,2022,Agosto,24/08/2022 00:00,NORMAL,10112,ENVAPACK,90 DIAS C/FACTURA,926.94,DOLAR,CTCO1102,CORRUGADO ONDA SIMPLE 270X470 S/IMPRESI�N,101,10200,1030200,UNI,APROBADA
22,2022,Agosto,24/08/2022 00:00,NORMAL,103658,LINEA PET PERU SA,120 DIAS C/FACTURA,926.94,DOLAR,PECL1101,CLAMSHELL PET 3 LBS UVAS SAM�S ALT 126,30,17600,528000,UNI,APROBADA
23,2022,Agosto,30/08/2022 00:00,NORMAL,46,UNITED PLASTIC CORPORATION S.A.,C/F US$ AL 21/04-21/05-21/06,890.9,DOLAR,BORA1106,BOLSA  RACIMO POLY BAGS  TRAPEZOIDAL PLU  4636,63,13200,831600,UNI,APROBADA
23,2022,Agosto,30/08/2022 00:00,NORMAL,46,UNITED PLASTIC CORPORATION S.A.,C/F US$ AL 21/04-21/05-21/06,890.9,DOLAR,BORA1328,BOLSA RACIMO Z.POUCH SOFT S/L #4022 GREEN T22-23,62,12800,793600,UNI,APROBADA
23,2022,Agosto,30/08/2022 00:00,NORMAL,46,UNITED PLASTIC CORPORATION S.A.,C/F US$ AL 21/04-21/05-21/06,890.9,DOLAR,BORA1330,BOLSA RACIMO Z.POUCH SOFT S/L #4056 BLACK T22-23,107,4600,492200,UNI,APROBADA
24,2022,Septiembre,01/09/2022 00:00,NORMAL,103701,PIENSA SOLUTIONS S.A.C,30 DIAS C/FACTURA,898.04,DOLAR,PECT1115,CINTILLO CARTULINA COSTCO GREEN 589X060 T22-23,36,15700,565200,UNI,APROBADA
24,2022,Septiembre,01/09/2022 00:00,NORMAL,103701,PIENSA SOLUTIONS S.A.C,30 DIAS C/FACTURA,898.04,DOLAR,PECT1116,CINTILLO CARTULINA COSTCO RED 589X060 T22-23,71,13200,937200,UNI,APROBADA
25,2022,Septiembre,01/09/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,898.04,DOLAR,PEAD1107,ADH STICKER OGL RED SEEDLESS 75X105 MM TEM 19-20,3,20400,61200,UNI,APROBADA
25,2022,Septiembre,01/09/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,898.04,DOLAR,PEAD1109,ADH BLANCO  1.50 X 7.00 MAQUINA IMPRESORA,16,19400,310400,UNI,APROBADA
25,2022,Septiembre,01/09/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,898.04,DOLAR,PEAD1137,ADHE COSTCO GREEN SEEDLESS 3LBS 71X71MM T22-23,109,9500,1035500,UNI,APROBADA
25,2022,Septiembre,01/09/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,898.04,DOLAR,PEAD1138,ADHE COSTCO RED SEEDLESS 3LBS 71X71MM T22-23,8,18400,SIN REGISTRO,UNI,APROBADA
25,2022,Septiembre,01/09/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,898.04,DOLAR,PEAD1416,ADH STICKER CIRCULAR (G) GRANELES VERDE,139,7100,986900,UNI,APROBADA
26,2022,Septiembre,01/09/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,898.04,DOLAR,PEAD1155,ADH TERMOGRAFO 70X150 MM,52,14300,743600,UNI,APROBADA
27,2022,Septiembre,07/09/2022 00:00,GENERAL,10273,IPSUM FIRE SPA,40% ANTICIPO 60% CONTRA ENTREGA,888.51,PESOS,NULL,MANTENCION RED HUMEDA BODEGA,164,2600,426400,NULL,APROBADA
28,2022,Septiembre,15/09/2022 00:00,NORMAL,721,IMICAR,120 DIAS C/FACTURA,917.11,DOLAR,CJCT1271,CAJA CTN 300X500X145/153 AUTO GESEX BLANCA TREE FRUIT 18-19,166,7200,1195200,UNI,APROBADA
28,2022,Septiembre,15/09/2022 00:00,NORMAL,721,IMICAR,120 DIAS C/FACTURA,917.11,DOLAR,CJCT1272,CAJA CTN 300X500X145/153 AUTO GESEX NEGRA TREE FRUIT 18-19,47,15500,728500,UNI,APROBADA
28,2022,Septiembre,15/09/2022 00:00,NORMAL,721,IMICAR,120 DIAS C/FACTURA,917.11,DOLAR,CJCT1277,CAJA CTN 300X500X145/153 AUTO ENJOY TREE FRUIT 21-22,83,12100,1004300,UNI,APROBADA
29,2022,Septiembre,15/09/2022 00:00,NORMAL,465,PROCESADORA DE PAPELES CHILE LTDA,90 DIAS C/FACTURA,917.11,DOLAR,CTCO1102,CORRUGADO ONDA SIMPLE 270X470 S/IMPRESI�N,172,3200,550400,UNI,APROBADA
29,2022,Septiembre,15/09/2022 00:00,NORMAL,465,PROCESADORA DE PAPELES CHILE LTDA,90 DIAS C/FACTURA,917.11,DOLAR,CTPA1101,PAPEL CAMISA 450X500 21 GR BLANCO,42,16200,680400,KGS,APROBADA
30,2022,Septiembre,15/09/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,917.11,DOLAR,PECJ1118,CAJA CTN 406X608X127/133 MAQ COSTCO RED SEEDLESS T21-22,77,12400,954800,UNI,APROBADA
30,2022,Septiembre,15/09/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,917.11,DOLAR,PECJ1128,CAJA CTN 400X600X095/100 MAQ/NEGRA,185,1200,222000,UNI,APROBADA
30,2022,Septiembre,15/09/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,917.11,DOLAR,PECJ1137,CAJA CTN 406X608X117/123 MAQ/PURA GESEX NEGRA GRAPES T22-23,1,19700,19700,UNI,APROBADA
30,2022,Septiembre,15/09/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,917.11,DOLAR,PECJ1138,CAJA CTN 406X608X117/123 MAQ/ENJOY GRAPES T22-23,122,6900,841800,UNI,APROBADA
30,2022,Septiembre,15/09/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,917.11,DOLAR,PECJ1143,CAJA CTN 406X508X120/125 MAQ/PURAGESEX NEGRA GRAPES T22-23,153,5500,841500,UNI,APROBADA
30,2022,Septiembre,15/09/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,917.11,DOLAR,PECJ1144,CAJA CTN 406X508X120/125 MAQ/ENJOY GRAPES T22-23,146,4600,671600,UNI,APROBADA
31,2022,Septiembre,20/09/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,922.6,DOLAR,PEAD1118,ADH STICKER SAMS SUMMIT A.CRISP T21-22 83X57 MM,6,19600,117600,UNI,APROBADA
31,2022,Septiembre,20/09/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,922.6,DOLAR,PEAD1124,ADH STICKER TAFEL TRAUBEN RED/BLACK 58X79 MM T21-22,12,19800,237600,UNI,APROBADA
32,2022,Septiembre,20/09/2022 00:00,GENERAL,10182,BIOTECNOLOGIA FRUTICOLA S.A.,30 DIAS C/FACTURA,922.6,PESOS,NULL,HECTAREAS A MONITOREAR,78,12600,982800,NULL,APROBADA
33,2022,Septiembre,20/09/2022 00:00,GENERAL,103702,BIOFUTURO LTDA,30 DIAS C/FACTURA,922.6,PESOS,NULL,HECTAREAS A MONITOREAR TOTAL PRODUCTORES,45,16500,742500,NULL,APROBADA
34,2022,Septiembre,26/09/2022 00:00,NORMAL,721,IMICAR,120 DIAS C/FACTURA,965.18,DOLAR,CJCT1273,CAJA CTN 300X500X145/153 AUTO LA HORNILLA,133,5900,784700,UNI,APROBADA
35,2022,Septiembre,27/09/2022 00:00,GENERAL,10286,NEW FIRE SPA,30 DIAS C/FACTURA,987.07,PESOS,NULL,MANTENCION DE EXTINTOR  2 KG PQS,137,7100,972700,NULL,APROBADA
35,2022,Septiembre,27/09/2022 00:00,GENERAL,10286,NEW FIRE SPA,30 DIAS C/FACTURA,987.07,PESOS,NULL,MANTENCION DE EXTINTOR  2 KG CO2,138,6300,869400,NULL,APROBADA
35,2022,Septiembre,27/09/2022 00:00,GENERAL,10286,NEW FIRE SPA,30 DIAS C/FACTURA,987.07,PESOS,NULL,CARGA EXTINTOR DE KG CO2,15,18200,273000,NULL,APROBADA
35,2022,Septiembre,27/09/2022 00:00,GENERAL,10286,NEW FIRE SPA,30 DIAS C/FACTURA,987.07,PESOS,NULL,MANTENCION DE EXTINTOR  DE 75 KG PQS,180,2300,414000,NULL,APROBADA
35,2022,Septiembre,27/09/2022 00:00,GENERAL,10286,NEW FIRE SPA,30 DIAS C/FACTURA,987.07,PESOS,NULL,MANTENCION DE EXTINTOR  DE 6KG PQS,46,14400,662400,NULL,APROBADA
35,2022,Septiembre,27/09/2022 00:00,GENERAL,10286,NEW FIRE SPA,30 DIAS C/FACTURA,987.07,PESOS,NULL,CARGA EXTINTOR DE 10 KG PQS,182,1900,345800,NULL,APROBADA
35,2022,Septiembre,27/09/2022 00:00,GENERAL,10286,NEW FIRE SPA,30 DIAS C/FACTURA,987.07,PESOS,NULL,MANTENCION DE EXTINTOR DE 10KG PQS,11,19800,217800,NULL,APROBADA
35,2022,Septiembre,27/09/2022 00:00,GENERAL,10286,NEW FIRE SPA,30 DIAS C/FACTURA,987.07,PESOS,NULL,RECAMBIO DE EXTINTOR NUEVO DE 10 PQS DS-44,8,19200,153600,NULL,APROBADA
36,2022,Septiembre,28/09/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,982.83,DOLAR,BORA1331,BOLSA RACIMO Z.POUCH SOFT HEB GREEN #3343 T22-23,86,11900,1023400,UNI,APROBADA
36,2022,Septiembre,28/09/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,982.83,DOLAR,BORA1332,BOLSA RACIMO Z.POUCH SOFT HEB RED #3344 T22-23,162,4200,680400,UNI,APROBADA
36,2022,Septiembre,28/09/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,982.83,DOLAR,BORA1333,BOLSA RACIMO Z.POUCH CPP/BOPP SWEETUMS GREEN #4498 T22-23,7,19400,135800,UNI,APROBADA
37,2022,Septiembre,29/09/2022 00:00,NORMAL,10236,TRUPAL S.A,120 DIAS C/FACTURA,971.14,DOLAR,PEPA1108,PARRILLA CARTON 1020X1225 C/ALETAS,171,3800,649800,UNI,APROBADA
38,2022,Octubre,03/10/2022 00:00,GENERAL,595,MARCO ANTONIO PONCE REYES,30 DIAS C/FACTURA,960.24,PESOS,NULL,SERVICIOS DE ARRIENDO FUMIGACION,191,1500,286500,NULL,APROBADA
39,2022,Octubre,03/10/2022 00:00,NORMAL,10177,LOS TRES CASTILLOS,30 DIAS C/FACTURA,960.24,DOLAR,BOCA1125,BOLSA CAMISA 1050X650 PERFORADA 0.3% USDA APPROVED,134,6900,924600,UNI,APROBADA
